epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4131.22,0.98751,1.32098,1.10538,0.37406,0.61965,0.47322,0.33662,1.1231,1.20732,1.27042,0.0005941,0.0005941,0.0005941
43,4280.37,0.98587,1.32177,1.10879,0.40215,0.59646,0.48279,0.346,1.12394,1.16189,1.29888,0.0005842,0.0005842,0.0005842
44,4409.38,1.02816,1.33844,1.1276,0.37899,0.62129,0.49704,0.3585,1.09312,1.15284,1.25833,0.0005743,0.0005743,0.0005743
45,4535.59,1.00277,1.30409,1.10579,0.37612,0.58996,0.46089,0.31986,1.20606,1.33766,1.3307,0.0005644,0.0005644,0.0005644
46,4671.68,0.9965,1.29441,1.09808,0.40199,0.56438,0.47692,0.34423,1.11675,1.1857,1.29116,0.0005545,0.0005545,0.0005545
47,4804.03,0.9788,1.29115,1.09923,0.4455,0.57981,0.4801,0.34223,1.12101,1.19647,1.26601,0.0005446,0.0005446,0.0005446
48,4942.47,1.01358,1.29544,1.10951,0.44074,0.54632,0.4914,0.35174,1.1407,1.17278,1.29561,0.0005347,0.0005347,0.0005347
49,5070.63,1.01625,1.29726,1.11322,0.34642,0.60302,0.4372,0.30824,1.20267,1.41134,1.3262,0.0005248,0.0005248,0.0005248
50,5200.17,0.97488,1.28349,1.09875,0.40779,0.6043,0.48312,0.33996,1.13749,1.17127,1.25779,0.0005149,0.0005149,0.0005149
51,5327.84,0.97623,1.25818,1.09035,0.39435,0.6128,0.4932,0.3553,1.11497,1.1645,1.27086,0.000505,0.000505,0.000505
52,5457.95,0.97204,1.25154,1.08409,0.41613,0.56271,0.49541,0.35715,1.14255,1.14708,1.28651,0.0004951,0.0004951,0.0004951
53,5591.48,0.97781,1.255,1.09322,0.44753,0.60975,0.50687,0.36424,1.1197,1.14507,1.28067,0.0004852,0.0004852,0.0004852
54,5729.21,0.96871,1.26769,1.08828,0.38868,0.60071,0.47531,0.34245,1.1336,1.21557,1.28959,0.0004753,0.0004753,0.0004753
55,5862.44,0.96529,1.27197,1.11212,0.44195,0.5868,0.51362,0.3667,1.12113,1.10603,1.26045,0.0004654,0.0004654,0.0004654
56,6004.58,0.96542,1.24093,1.09665,0.38058,0.65782,0.46475,0.33401,1.11345,1.24352,1.26433,0.0004555,0.0004555,0.0004555
57,6201.94,0.9735,1.21822,1.09089,0.42329,0.62515,0.52507,0.37684,1.14699,1.06974,1.29346,0.0004456,0.0004456,0.0004456
58,6408.28,0.96624,1.22902,1.08218,0.35544,0.64031,0.47827,0.34411,1.12878,1.18352,1.27121,0.0004357,0.0004357,0.0004357
59,6617.46,0.9538,1.22798,1.09081,0.42039,0.63731,0.51714,0.37237,1.15047,1.08362,1.28592,0.0004258,0.0004258,0.0004258
60,6817.42,0.95098,1.18844,1.09438,0.41141,0.66625,0.50505,0.365,1.11238,1.15474,1.24656,0.0004159,0.0004159,0.0004159
61,7027.96,0.97311,1.20705,1.09839,0.4172,0.56672,0.50059,0.36211,1.09363,1.10596,1.24424,0.000406,0.000406,0.000406
